ts,lon,lat,noxme,noxae,soxme,soxae,co2me,co2ae,come,coae,speed,pme,pae
2019-11-14 13:41:26.468,2.11000800132752,41.3905413883761,2.13263062972225,2.99603598598182,0.0592564801751494,0.0832467397462486,92.3790331115242,129.779111157369,58.079567368551,0.0,5.76536411479951,533.863070996301,750.0
2019-11-14 13:41:27.905,2.11006164550781,41.3905655353412,31.4278951869917,2.99603598598182,0.873243787339391,0.0832467397462486,1361.36025134495,129.779111157369,3048.76622508676,0.0,14.1349179491993,7867.36925074663,750.0
2019-11-14 13:41:29.677,2.11011528968811,41.3905896822974,16.7607877334205,2.99603598598182,0.465709003801877,0.0832467397462486,726.026037243278,129.779111157369,420.986726695675,0.0,11.4626843976148,4195.7409253033,750.0
2019-11-14 13:41:31.538,2.11016893386841,41.3906138292446,14.469265018213,2.99603598598182,0.402037607333994,0.0832467397462486,626.764285192229,129.779111157369,70.9893620719722,0.0,10.9144959371711,3622.1022759523,750.0
2019-11-14 13:41:34.297,2.11022257804871,41.3906379761828,4.44489601074507,2.99603598598182,0.123504224627787,0.0832467397462486,192.539293973931,129.779111157369,95.2584670737155,0.0,7.36447956575002,1112.69424788512,750.0
2019-11-14 13:41:36.667,2.110276222229,41.3906621231121,7.01247809096426,2.99603598598182,0.194846103767164,0.0832467397462486,303.759092986204,129.779111157369,59.5702480950631,0.0,8.57324758089584,1755.43905107657,750.0
2019-11-14 13:41:39.007,2.1103298664093,41.3906862700323,7.28566333832866,2.99603598598182,0.202436727276449,0.0832467397462486,315.592641965636,129.779111157369,5.69994118205827,0.0,8.68316178414363,1823.82572482881,750.0
2019-11-14 13:41:41.887,2.1103835105896,41.3907104169436,3.90786100703534,2.99603598598182,0.108582370084776,0.0832467397462486,169.276580919767,129.779111157369,36.7950343463076,0.0,7.05506841049508,978.257861050368,750.0
2019-11-14 13:41:44.635,2.11043179035187,41.390734563846,3.5822222131966,2.99603598598182,0.0995342918744959,0.0832467397462486,155.17090481291,129.779111157369,4.37874731219797,0.0,6.85339401012364,896.740450538016,750.0
2019-11-14 13:41:47.481,2.11048007011414,41.3907627347395,3.78146938741316,2.99603598598182,0.105070499628605,0.0832467397462486,163.80168271125,129.779111157369,2.76140397005961,0.0,6.97817285031775,946.618149391307,750.0
